word,nasa_design_sep.txt,nasa_require_sep.txt
image,0,16
callback,0,7
ability,0,6
appendix,0,4
obtain,0,4
accordance,0,3
ms,0,2
apply,0,2
reorder,0,2
sbe,0,2
region,0,2
slave,0,2
centroid,0,2
delivery,0,2
respect,0,1
interpret,0,1
room,0,1
ms.,0,1
id,0,1
group,0,1
brightness,0,1
drop,0,1
latency,0,1
opposite,0,1
nothing,0,1
incomplete,0,1
completion,0,1
resource,0,1
preserve,0,1
reaction,0,1
receiver,0,1
walk,0,1
stamp,0,1
photon,0,1
observe,0,1
solid,0,1
trip,0,1
unrecognized,0,1
validate,0,1
discontinue,0,1
background,0,1
loss,0,1
mhz,0,1
calculated,0,1
scrub,0,1
recorder,0,1
bound,0,1
prepare,0,1
decode,0,1
occupy,0,1
lookup,0,1
branch,0,1
spatial,0,1
acceptable,0,1
truncate,0,1
